name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Cabernet Riserva 2016,Italy,Südtirol - Alto Adige,Alois Lageder,3.7,115,20.19,24/03/2015,false
Centine Rosso 2018,Italy,Toscana,Banfi,3.7,115,8.50,14/08/2010,false
Sangiovese di Romagna Superiore Riserva 2016,Italy,Romagna,Poderi dal Nespoli,3.9,115,16.64,27/03/2009,true
Powerline Syrah 2016,United States,Walla Walla Valley,K Vintners,4.3,115,60.84,21/02/1999,true
Granja Gran Reserva Rioja 2011,Spain,Rioja,Remelluri,4.3,115,49.75,28/08/2006,true
Carnevalè Riserva Cannonau di Sardegna 2015,Italy,Cannonau di Sardegna,Giuseppe Sedilesu,4.1,115,25.83,23/02/2010,false
Eloy Escudero Crianza 2014,Spain,Ribera del Duero,Bodegas y Vinedos Escudero,3.7,115,12.43,03/04/2000,true
Rouge 2011,France,Côtes Catalanes,Domaine de l'Horizon,3.9,115,77.01,03/02/2007,true
Gran Reserva 2012,Spain,Rioja,Rioja Vega,3.9,115,18.50,06/08/2017,false
Negroamaro Salento Maru 2018,Italy,Salento,Castello Monaci,3.5,115,7.40,30/01/2013,false
1300 Malbec 2018,Argentina,Tupungato,Andeluna,3.7,1150,7.70,04/05/2002,false
Gran Reserva Rioja 2008,Spain,Rioja,Lan,3.9,1152,17.25,16/10/2004,false
Cabernet Sauvignon 2017,United States,California,Barefoot,3.3,1155,6.00,15/02/2017,true
Cabernet Sauvignon - Merlot 2014,Spain,Somontano,Enate,3.6,1156,19.89,05/10/2014,false
Haut-Médoc 2014,France,Haut-Médoc,Château Beaumont,3.6,1156,15.90,29/03/2009,true
Castelgreve Chianti Classico Riserva 2015,Italy,Chianti Classico,Castelli del Grevepesa,3.6,1157,17.84,18/06/2007,true
Beaujolais-Villages 2019,France,Beaujolais-Villages,Joseph Drouhin,3.9,116,12.14,19/01/2012,false
Jester Cabernet Sauvignon 2017,Australia,McLaren Vale,Mitolo,3.6,116,18.92,26/12/2013,false
Chianti 2018,Italy,Chianti,Monte Guelfo,3.3,116,7.75,24/08/2003,false
Millenium Reserva 2009,Spain,Ribera del Duero,Tinto Pesquera,4.5,116,82.86,13/04/2008,false
Il Messo Governo Toscana 2017,Italy,Toscana,Barbanera,3.7,116,7.79,19/08/2019,true
Reserve Cabernet Sauvignon 2014,United States,Oakville,Robert Mondavi,4.2,116,178.96,06/06/2015,true
La Gravette de Certan Pomerol 2013,France,Pomerol,Vieux Château Certan,4.2,116,48.50,03/08/2007,false
Grenache Noir 2018,France,Pays d'Oc,Paul Mas,3.8,116,5.50,06/02/2010,true
Cabernet Sauvignon 2015,South Africa,Western Cape,Laborie,3.4,116,7.18,01/03/2003,true
Maestro Raro 2014,Italy,Toscana,Fèlsina,4.0,116,50.67,01/12/2000,false
Buzzard Kloof Syrah 2014,South Africa,Stellenbosch,Rustenberg,3.6,116,19.80,12/05/2013,true
Grand Reserve 2014,South Africa,Stellenbosch,Delheim,4.1,116,26.95,27/09/2014,true
Aussières Rouge (Red Blend) 2017,France,Pays d'Oc,Château d’Aussières,3.5,116,8.32,12/07/2000,true
Mount Edelstone Shiraz 2014,Australia,Eden Valley,Henschke,4.4,116,179.00,29/12/2018,true
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Allegrini,4.1,116,50.60,30/09/2016,false
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Léoville Barton,4.2,116,95.53,26/03/2017,false
Reserve 2015,South Africa,Western Cape,Roodeberg,3.5,116,9.95,15/05/2005,true
Saint-Estèphe 2017,France,Saint-Estèphe,Château Phélan Ségur,3.7,116,44.84,10/07/2004,true
Santa Rita Rosso di Valtelina 2014,Italy,Valtellina,Mamete Prevostini,3.5,116,11.50,19/09/2002,true
Limited Release Cabernet Sauvignon 2014,Chile,Rapel Valley,Sutil,4.1,116,11.80,24/08/2008,true
1851 Reserva Cabernet Sauvignon 2017,Chile,Colchagua Valley,Ochagavia,3.3,116,11.47,16/06/1999,false
Château Romassan Rouge 2016,France,Bandol,Domaines Ott,3.9,116,33.90,04/10/2001,true
Pauillac (Grand Cru Classé) 2014,France,Pauillac,Château d'Armailhac,4.0,1160,94.80,13/03/2004,false
Pauillac (Grand Cru Classé) 2010,France,Pauillac,Château Pichon Baron,4.5,1163,249.00,03/05/2001,true
Pinot Noir 2016,New Zealand,Marlborough,Cloudy Bay,3.9,1163,39.95,13/08/2010,true
St. Henri Shiraz 2013,Australia,South Australia,Penfolds,4.4,1165,109.13,25/09/2006,true
Pinot Noir 2016,United States,Dundee Hills,Domaine Drouhin,4.2,1166,54.59,10/04/2002,true
Negru de Purcari 2015,Moldova,South Eastern,Château Purcari,4.4,1168,98.98,28/03/2000,true
Oakville Cabernet Sauvignon 2014,United States,Oakville,Robert Mondavi,4.2,1168,55.79,22/03/2003,true
Douro Reserva Red 2016,Portugal,Douro,Quinta do Portal,4.0,1169,21.05,12/01/2002,false
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Branaire-Ducru,4.2,1169,87.24,26/03/2013,true
Saint-Julien (Grand Cru Classé) 2001,France,Saint-Julien,Château Léoville Barton,4.3,1169,108.95,29/06/2011,true
Reserva de Familia Syrah 2014,Spain,Lanzarote,El Grifo,4.2,117,33.95,25/12/2009,false
Oberbergener Bassgeige Spätburgunder 2017,Germany,Baden,Franz Keller,3.6,117,14.70,29/10/2016,false
Brolo del Figaretto Amarone della Valpolicella Valpantena 2015,Italy,Amarone della Valpolicella Valpantena,Corte Figaretto,4.2,117,29.50,30/06/2009,true
La Nieta 2007,Spain,Rioja,Viñedos de Páganos,4.6,117,83.95,02/05/2019,true
Merlot 2014,United States,California,Woodhaven,3.7,117,8.41,18/05/2004,true
Èrema 2016,Italy,Isola dei Nuraghi,Siddura,3.8,117,14.57,28/11/2018,true
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Léoville Poyferré,3.9,117,86.76,11/06/2016,true
Vigna di Sessina Chianti Classico Gran Selezione 2015,Italy,Chianti Classico,Dievole,4.4,117,42.00,27/02/1999,false
Bardolino Classico 2018,Italy,Bardolino Classico,Lenotti,3.5,117,4.70,02/11/2005,false
Reserva Cabernet Sauvignon 2013,Brazil,Serra Gaúcha,Don Guerino,3.3,117,12.62,27/05/2018,false
Brauneberger Klostergarten Pinot Noir*** 2014,Germany,Mosel,Markus Molitor,4.0,117,38.79,18/01/2004,false
Valpolicella Ripasso Classico Superiore Il Vegro 2017,Italy,Valpolicella,Brigaldara,3.8,117,13.40,11/04/2012,true
Barbera d'Alba 2016,Italy,Langhe,Franco Molino,4.1,117,11.90,29/08/2015,true
Reserva Cabernet Sauvignon 2014,Spain,Valdepeñas,Viña Albali,3.4,117,5.99,11/10/2019,true
Saint-Émilion Grand Cru (Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château La Serre,3.8,117,46.79,05/03/2007,false
Spätburgunder 2017,Germany,Baden,Shelter Winery,3.6,117,10.95,07/02/1999,true
Giorgio 2011,South Africa,Stellenbosch,Dalla Cia,4.2,117,59.00,25/05/2019,true
Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Riscal,4.1,1170,41.04,18/08/2006,false
Margaux (Grand Cru Classé) 2005,France,Margaux,Château Brane-Cantenac,4.4,1171,119.95,06/09/2006,true
Montefalco Rosso 2016,Italy,Montefalco,Arnaldo-Caprai,3.7,1171,14.54,09/11/2017,true
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Figeac,4.5,1172,239.95,07/02/2016,false
Toscana 2015,Italy,Toscana,Tenuta Castiglioni,3.9,1174,38.50,21/06/2000,false
The Stump Jump Grenache - Shiraz - Mourvedre 2016,Australia,McLaren Vale,d'Arenberg,3.6,1177,8.50,16/01/2016,false
Finca Alejandro 2013,Spain,Castilla y León,Dehesa La Granja,3.8,1177,9.99,15/06/2002,false
Chianti Classico Riserva 2013,Italy,Chianti Classico,Brancaia,3.9,1178,18.50,12/08/2000,true
Puro Corte 2018,Argentina,Mendoza,Dieter Meier,3.9,118,14.89,19/08/2005,true
Bardolino 2018,Italy,Bardolino,Cantina di Custoza,3.5,118,5.50,25/12/2012,true
La Baronnie Madeleine Chinon 2015,France,Chinon,Couly-Dutheil,3.8,118,16.69,03/09/2006,true
Lagrein Schweizer 2017,Italy,Südtirol - Alto Adige,Franz Haas,3.8,118,24.46,05/05/2001,false
Vindoro Negroamaro 2016,Italy,Salento,San Marzano,4.3,118,18.90,14/03/2002,true
Sasyr Sangiovese - Syrah Toscana 2016,Italy,Toscana,Rocca delle Macìe,3.9,118,9.26,08/06/2009,false
Frans Malan Cape Blend 2016,South Africa,Stellenbosch,Simonsig,4.2,118,19.95,30/08/2012,true
Barolo Brunate 2015,Italy,Barolo,Ceretto,4.2,118,128.91,02/03/2019,true
Toscana Merlot 2013,Italy,Toscana,Danzante,3.5,118,10.69,01/02/2014,true
Saint Hilaire Vineyard Pinot Noir Réserve 2017,France,Pays d'Oc,Paul Mas,3.5,118,7.79,13/04/2008,false
Morellino di Scansano 2016,Italy,Morellino di Scansano,Aia Vecchia,3.6,118,8.72,31/08/2006,false
Barbaresco Bernardot 2014,Italy,Barbaresco,Ceretto,4.1,118,89.00,09/10/2014,true
Margaux 2005,France,Margaux,Château La Gurgue,4.0,118,39.95,10/03/2000,true
Merlot 2018,South Africa,Swartland,Leopard’s Leap,3.3,118,7.75,13/07/2000,false
Barolo Castiglione 2014,Italy,Barolo,Vietti,4.1,1180,43.87,06/09/2003,true
Pinot Noir 2017,New Zealand,Marlborough,Brancott Estate,3.3,1180,10.21,24/03/2000,true
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Beychevelle,4.4,1182,129.95,02/03/2009,true
Evenstad Reserve Pinot Noir 2013,United States,Willamette Valley,Domaine Serene,4.3,1182,108.46,30/05/1999,false
Submission Cabernet Sauvignon 2017,United States,California,689 - Six Eight Nine,3.9,1186,15.40,20/11/2017,true
Médoc 2009,France,Médoc,Château La Cardonne,3.8,1187,25.92,30/04/2009,false
Signature Pinotage 2018,South Africa,Western Cape,Spier,3.6,1188,6.50,06/09/2007,false
Bolgheri Superiore 2015,Italy,Bolgheri Superiore,Grattamacco,4.2,1188,55.19,26/01/2012,false
Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Biscardo,4.3,1189,26.06,20/03/2008,true
Bosan Riserva Amarone della Valpolicella Classico 2008,Italy,Amarone della Valpolicella Classico,Cesari,4.2,119,56.00,30/01/2017,true
Nebbiolo Coste Della Sesia 2017,Italy,Coste della Sesia,Travaglini,3.6,119,18.70,22/06/2019,true
Sister Moon 2015,Italy,Toscana,Tenuta Il Palagio,4.2,119,42.95,27/08/2015,false
Vat 9 Shiraz 2011,Australia,Hunter Valley,Tyrrell's,3.9,119,33.92,06/01/2010,true
GSM 2017,France,Vin de France,Maison de La Villette,4.0,119,6.60,08/09/2017,true
Pomerol 2005,France,Pomerol,Clos l'Eglise,4.4,119,139.95,04/12/2001,true
Tribu Merlot 2016,Argentina,Maipu,Trivento,3.1,119,8.67,03/09/2007,true
Aconcagua Valley 2017,Chile,Aconcagua Valley,Sena,4.3,119,106.15,22/04/2015,false
Zweigelt 2018,Austria,Burgenland,Judith Beck,3.6,119,10.60,27/02/2008,true
Macán Clásico 2016,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.2,119,38.50,05/12/2015,true
Gevrey-Chambertin 2016,France,Gevrey-Chambertin,Joseph Drouhin,4.1,119,48.64,22/12/2010,true
Pessac-Léognan (Grand Cru Classé de Graves) 2017,France,Pessac-Léognan,Château Pape Clément,4.0,119,102.35,20/10/2005,false
Le Clos des Fées (Hervé Bizeul) 2015,France,Côtes du Roussillon,Domaine du Clos des Fées,4.2,119,38.89,18/12/2004,true
Mont du Toit 2007,South Africa,Wellington,Mont du Toit,4.1,119,54.00,21/12/2006,false
Saga Médoc 2015,France,Médoc,Barons de Rothschild (Lafite),3.9,119,10.25,30/12/2005,false
Valpolicella Ripasso (Classico Superiore) 2017,Italy,Valpolicella Ripasso,Tommasi,4.1,119,16.90,03/09/2003,false
Il Passo Nerello Mascalese 2018,Italy,Terre Siciliane,Zabu,3.7,119,7.50,15/07/2010,true
Les Dentelles Côtes du Roussillon Villages 2015,France,Côtes du Roussillon Villages,Thunevin-Calvet,3.7,119,31.19,21/04/2015,false
Maremma Toscana Le Sughere di Frassinello 2015,Italy,Maremma Toscana,Rocca di Frassinello,3.9,1190,19.90,24/04/2004,false
Barrel Selection Malbec 2018,Argentina,Uco Valley,Salentein,4.1,1192,12.89,17/02/2008,true
Rioja Reserva (Tempranillo) 2015,Spain,Rioja,Ramón Bilbao,4.0,1192,10.49,14/08/1999,true
Malbec 2018,Argentina,Mendoza,Alamos,3.7,11920,8.40,15/04/2009,true
Rubicon 2016,South Africa,Stellenbosch,Meerlust,4.3,1193,26.90,03/01/2000,true
Paula Malbec 2018,Argentina,Lujan de Cuyo,Doña Paula,3.4,1194,6.73,10/09/2009,false
Hermitage 'La Maison Bleue' 2017,France,Hermitage,Paul Jaboulet Aîné,4.1,120,77.35,27/01/2007,false
Aviator Blaufränkisch 2017,Austria,Neusiedlersee,Keringer,4.0,120,11.60,06/01/2016,true
Syrah Reserva 2017,Chile,Central Valley,Escudo Rojo,3.4,120,12.50,02/02/2015,false
Poggio Valente 2014,Italy,Toscana,Fattoria le Pupille,3.8,120,26.90,19/12/1998,false
Primitivo 2018,Italy,Salento,Feudo Croce,3.8,120,9.95,15/10/2018,false
Prestige Saint-Drézéry Rouge 2018,France,Saint-Drézéry,Château Puech-Haut,4.2,120,16.85,12/08/2013,false
Pinotage Reserve 2018,South Africa,Durbanville,Diemersdal,4.1,120,19.25,12/09/2014,true
Cabernet Sauvignon - Merlot 2015,Slovenia,Podravje,Puklavec Family Wines,3.0,120,7.65,25/10/2000,false
Merlot - Corvina 2018,Italy,Veneto,Corte Giara,3.4,120,6.44,26/02/2012,false
Atrium Merlot 2018,Spain,Penedès,Torres,3.8,120,10.50,04/04/2013,true
Cabernet Sauvignon (The Churchyard) 2018,South Africa,Franschhoek,Franschhoek Cellar,3.6,120,8.50,01/09/1999,true
Rosso di Montepulciano 2016,Italy,Rosso di Montepulciano,Talosa,3.4,120,12.19,26/08/2012,false
La Chenade Lalande de Pomerol 2015,France,Lalande-de-Pomerol,Denis Durantou,4.0,120,28.83,18/06/2017,true
Appellation Syrah 2017,Argentina,Pedernal Valley,Pyros,3.8,120,13.95,04/06/2008,false
Sot Nebbiolo d'Alba 2015,Italy,Nebbiolo d'Alba,Pelassa,3.7,120,15.99,15/11/2002,false
Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Villa Poggio Salvi,3.7,120,13.99,03/11/2007,false
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,France,Saint-Émilion Grand Cru,Château Beau-Sejour Becot,4.1,120,85.00,12/08/2011,false
Anaperenna 2017,Australia,Barossa Valley,Glaetzer,4.2,120,44.99,21/06/2008,false
1270 A Vuit Red 2013,Spain,Priorat,Hidalgo Albert,3.7,120,29.25,31/03/2003,true
La Garnacha Olvidada de Aragón 2017,Spain,Aragón,Proyecto Garnachas de España,3.7,120,13.95,06/09/1999,false
Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Borgogno,3.8,120,13.95,29/07/2016,false
Médoc 2005,France,Médoc,Château d'Escurac,3.7,120,25.95,19/07/2003,false
Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Nobile delle Rocche,3.6,120,4.95,25/08/2016,false
Les Hauts de Naudon Bordeaux Supérieur 2016,France,Bordeaux Supérieur,Château Pierrail,3.8,120,8.95,26/07/1999,false
Winemaker's Selection Tinto 2018,Portugal,Lisboa,Portada,3.7,1202,5.74,25/06/2003,false
Salmos 2016,Spain,Priorat,Torres,4.2,1203,23.49,02/05/2013,false
Capitel San Rocco Valpolicella Ripasso Superiore 2016,Italy,Valpolicella Ripasso,Tedeschi,3.8,1205,14.20,20/12/2017,false
Crianza Rioja 2016,Spain,Rioja,Ramón Bilbao,3.9,12079,8.60,11/08/2004,false
Saint-Estèphe (Grand Cru Classé) 2012,France,Saint-Estèphe,Château Montrose,4.2,1208,106.25,26/07/2019,true
Pinotage 2016,South Africa,Stellenbosch,Kanonkop,4.2,1208,39.19,06/10/2007,true
Sorì dei Mori Barbera d'Asti 2018,Italy,Barbera d'Asti,Vinchio - Vaglio Serra,3.1,121,8.90,18/05/2019,false
Margaux (Grand Cru Classé) 2016,France,Margaux,Château Marquis d'Alesme,4.1,121,53.61,23/06/1999,true
Pinotage 2018,South Africa,Stellenbosch,Stellenrust,3.6,121,8.72,03/04/2015,true
I Bastioni Chianti Classico 2017,Italy,Chianti Classico,Collazzi,3.8,121,15.42,13/12/2015,false
4 20 Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Torri,3.8,121,8.90,07/04/2018,true
Pinotage 2016,South Africa,Stellenbosch,Anura,3.8,121,12.60,22/07/2019,false
Cabernet Sauvignon Grande Reserva 2014,Portugal,Lisboa,Casa do Lago,4.1,121,5.99,16/01/2002,true
Reserva 2012,Spain,Rioja,Viña Olabarri,3.7,121,13.70,03/02/2015,true
Special Reserve Cabernet Sauvignon 2013,Chile,Colchagua Valley,Siegel,3.7,121,12.62,01/07/2000,true
Tenuta Santedame Chianti Classico 2015,Italy,Chianti Classico,Ruffino,3.8,121,19.42,22/07/2009,true
Caladessa Tinto 2016,Portugal,Alentejo,Herdade da Calada,4.0,121,9.90,01/03/2015,false
Spätburgunder 2017,Germany,Ahr,Hand in Hand - Meyer-Näkel & Klumpp,3.9,121,12.50,13/05/2001,false
Pietra Susumaniello 2018,Italy,Salento,Menhir,3.8,121,12.90,28/05/2017,true
Savigny Premier Cru 'Aux Clous' 2014,France,Savigny-lès-Beaune 1er Cru 'Aux Clous',Ardhuy,3.8,121,23.59,27/03/2010,true
Cabernet Sauvignon - Syrah 2018,France,Pays d'Oc,Anciens Temps,3.6,121,5.70,06/04/2000,true
Roches d'Hillac 2015,France,Buzet,Les Vignerons de Buzet,3.4,121,6.20,25/01/2002,false
La Cumbre Syrah 2015,Chile,Aconcagua Valley,Errazuriz,4.3,121,63.27,16/06/2015,false
Argile Rouge 2017,France,Vins des Allobroges,Domaine des Ardoisieres,3.9,121,29.15,01/11/1999,true
Brunello di Montalcino Riserva 2010,Italy,Brunello di Montalcino,Conti Costanti,4.5,121,144.53,01/10/2018,true
One Red Blend 2016,South Africa,Western Cape,Capaia,3.9,121,19.05,29/04/2001,false
Circle of Life Red 2015,South Africa,Stellenbosch,Waterkloof,3.7,121,16.90,09/12/2016,false
Barolo 2013,Italy,Barolo,Ceretto,4.0,1211,48.40,18/12/2005,true
Grand Cru Apalta 2014,Chile,Colchagua Valley,Caballo Loco,4.4,1211,27.20,31/12/2008,false
Marquis de Calon Saint-Estèphe 2014,France,Saint-Estèphe,Château Calon-Ségur,3.9,1212,24.90,12/04/2014,true
Légende (R) Bordeaux Rouge 2016,France,Bordeaux,Barons de Rothschild (Lafite),3.5,1213,12.14,22/09/2004,true
Barbera d'Alba 2017,Italy,Barbera d'Alba,Fontanafredda,3.6,1213,8.59,20/02/2014,false
Estate Shiraz 2017,Australia,Clare Valley,Taylors / Wakefield,3.8,1215,9.50,11/05/2009,false
Da Vinci Chianti 2017,Italy,Chianti,Cantine Leonardo da Vinci,3.5,1218,7.50,07/07/2006,false
Terroir du Trias Bandol Rouge 2015,France,Bandol,Domaine de Terrebrune,4.1,122,30.90,15/11/2013,false
Chiaramonte Nero d'Avola 2017,Italy,Terre Siciliane,Firriato,3.7,122,8.49,25/08/2004,false
Pinot Noir Te Muna Road Vineyard 2017,New Zealand,Marlborough,Craggy Range,4.1,122,39.48,11/01/2000,true
Titolo 2016,Italy,Aglianico del Vulture,Elena Fucci,3.8,122,31.48,24/08/2006,false
Johanneshöhe Blaufränkisch 2012,Austria,Burgenland,Prieler,3.7,122,11.09,15/11/2015,true
Sorì San Lorenzo 2013,Italy,Langhe,Gaja,4.4,122,445.00,20/09/2012,true
Moncagua Malbec 2017,Argentina,Mendoza,Belasco de Baquedano,3.7,122,8.83,22/06/2002,false
Passiata 2017,Italy,Sicilia,Stemmari,3.9,122,6.68,07/10/2009,false
Montagne-Saint-Émilion 2015,France,Montagne-Saint-Émilion,Château Tour Calon,3.6,122,14.36,08/05/2016,true
Médoc 2010,France,Médoc,Château Cardus,3.7,122,14.90,16/06/2004,false
Sidereus 2016,Italy,Toscana,Cantine del Borgo Reale,3.8,122,26.81,08/03/2003,false
Haut-Médoc 2014,France,Haut-Médoc,Château Saint-Ahon,3.9,122,18.42,11/06/2017,false
Caudium Aglianico 2018,Italy,Campania,Masseria Frattasi,3.8,122,10.57,12/07/2002,true
Barthélémy 2010,France,Francs - Côtes de Bordeaux,Château le Puy,4.2,122,149.00,12/08/2008,false
Aenigma Red 2014,South Africa,Elgin,Neil Ellis,3.5,122,9.90,07/11/2004,false
Toscana Rosso 2015,Italy,Toscana,La Madonnina,4.1,122,26.00,04/02/2002,false
Crozes-Hermitage Domaine de Thalabert 1996,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.8,122,54.25,29/04/2004,false
Finca Biniagual Gran Verán 2015,Spain,Binissalem-Mallorca,Biniagual,4.0,122,46.79,04/04/2011,true
Martin Melck Cabernet Sauvignon 2015,South Africa,Stellenbosch,Muratie,4.1,122,13.99,21/07/2013,true
Vitral Reserva Carmenère 2018,Chile,Rapel Valley,Viña Maipo,3.6,122,7.50,14/10/1999,true
Chianti Classico 2014,Italy,Chianti Classico,Cinciole,3.8,122,14.57,27/05/2018,false
Bordeaux Rouge 2015,France,Bordeaux,Château Vircoulon,2.7,122,8.95,09/09/2001,true
Terroir Series Cabernet Sauvignon 2016,Argentina,Mendoza,Kaiken,3.7,122,10.24,04/06/2005,true
Barbera d'Alba Maria Gioana 2015,Italy,Barbera d'Alba,Giacosa Fratelli,4.0,122,14.62,06/12/2015,true
Blauer Spätburgunder 2013,Germany,Baden,Ziereisen,3.4,122,11.31,08/04/2000,true
Châteauneuf-du-Pape (Tradition) Rouge 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,122,49.95,02/01/2009,true
Rosso di Montepulciano 2018,Italy,Rosso di Montepulciano,Tenuta di Gracciano della Seta,3.9,122,8.53,26/08/2010,true
Monti Garbi Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Tenuta Sant'Antonio,3.9,1220,9.95,04/07/2009,true
Cabernet Sauvignon (Cs) 2016,United States,Columbia Valley,Substance,3.8,1221,21.80,13/02/1999,true
Rocca Rubia Riserva Carignano del Sulcis 2016,Italy,Carignano del Sulcis,Santadi,4.1,1222,15.08,29/12/2005,false
Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Cáceres,4.0,1225,17.69,10/08/2011,true
Crianza 2014,Spain,Rioja,Rioja Vega,3.5,1226,7.99,14/01/2011,true
Saint-Julien (Grand Cru Classé) 2007,France,Saint-Julien,Château Léoville Barton,4.1,1227,76.00,02/04/2009,true
Moulis-en-Médoc 2012,France,Moulis-en-Médoc,Château Poujeaux,3.9,1227,31.19,17/04/2003,false
Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Barton,4.2,1228,76.95,22/07/2017,false
Poggio ai Ginepri Bolgheri 2017,Italy,Bolgheri,Tenuta Argentiera,3.9,1228,11.90,21/05/2003,true
Selección Especial (Reserva) 2015,Spain,Rioja,Muga,4.3,1229,26.32,16/12/2013,true
Dragone Rosso 2016,Italy,Calabria,Lento,3.8,123,13.42,31/12/2014,true
Lily's Garden Shiraz 2017,Australia,McLaren Vale,Two Hands,4.2,123,49.00,10/07/2002,false
LZ Rioja 2018,Spain,Rioja,Telmo Rodriguez,3.5,123,8.75,13/03/2006,true
Estate Selection Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.6,123,8.99,28/05/2008,true
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.2,123,109.00,18/09/2000,false
Garnatxa 2018,Spain,Catalunya,Segura Viudas,3.1,123,6.25,25/12/2017,true
Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4.0,123,6.61,10/10/2012,false
Reserva Tinto 1999,Portugal,Alentejo,Marquês de Borba,4.5,123,50.20,29/01/2017,false
Châteauneuf-du-Pape Chaupin 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,123,98.00,23/07/2008,true
Margaux 2016,France,Margaux,Château Rauzan-Gassies,4.0,123,88.00,17/06/2004,true
Tempranillo Valencia 2018,Spain,Valencia,Radio Boca,3.4,123,5.15,16/01/2019,true
Pézenas 2017,France,Pézenas,Mas des Mas,3.7,123,16.79,30/08/2003,true
Les Vieilles Vignes Volnay 2015,France,Volnay,Vincent Girardin,3.9,123,48.10,21/02/2003,false
Conteisa Langhe 2011,Italy,Langhe,Gaja,4.2,123,219.00,23/08/2005,false
Kanai Riserva Carignano del Sulcis 2015,Italy,Carignano del Sulcis,Sardus Pater,3.8,123,16.57,10/01/2003,true
Paxxo 2017,Italy,Veneto,Stefano Accordini,4.1,123,19.40,21/10/2008,true
Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,25.00,25/03/2007,true
Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,37.90,25/06/1999,true
Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,27.95,20/03/2014,true
Odé d'Aydie Madiran 2016,France,Madiran,Château d'Aydie,3.7,123,12.90,11/02/2014,true
Instinct Parcellaire Côtes de Provence 2015,France,Côtes de Provence,Château des Bormettes,3.7,123,21.93,17/01/2012,false
Rosso di Montalcino Banditella 2016,Italy,Rosso di Montalcino,Col d'Orcia,3.8,123,18.50,11/06/2019,false
Eremo San Quirico 2016,Italy,Irpinia Campi Taurasini,Nativ,4.2,1232,17.45,16/09/2000,true
Rioja Reserva 2009,Spain,Rioja,Luis Cañas,3.9,1233,34.99,28/09/2010,true
De Chiripa 2017,Spain,Ribera del Duero,Valderiz,3.6,124,15.27,11/09/2006,true
Colección Crianza 2013,Spain,Navarra,Castillo de Enériz,4.1,124,12.30,05/01/2004,true
Leradici Barbera d'Asti 2018,Italy,Barbera d'Asti,Mauro Molino,4.0,124,15.47,20/02/2018,true
Merlot 2017,Israel,Galilee,Gamla,3.9,124,15.05,12/12/1999,true
Barolo Pajana 2011,Italy,Barolo,Domenico Clerico,4.2,124,63.92,16/03/2007,true
Al-Muvedre Tinto Monastrell 2018,Spain,Alicante,Telmo Rodriguez,3.6,124,6.95,15/12/2005,true
Geremia Toscana 2013,Italy,Toscana,Rocca di Montegrossi,4.1,124,29.95,23/04/2014,false
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Giscours,3.8,124,70.19,16/06/2005,false
Saint-Estèphe 2016,France,Saint-Estèphe,Château Le Crock,4.0,124,38.25,16/12/2018,false
Monopole 'Clos des Langres' Rouge 2014,France,Côte de Nuits Villages,Ardhuy,4.2,124,35.50,25/03/1999,true
Barolo Brunate 2011,Italy,Barolo,Vietti,4.4,124,144.53,04/06/2002,false
The Long Walk Shiraz 2018,South Africa,Western Cape,Footprint,3.5,124,6.50,12/08/2002,true
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Zevenwacht,3.8,124,13.82,10/04/2011,true
País 2015,Chile,Itata Valley,Viña La Causa,3.8,124,11.55,16/09/2008,true
Rouge 2015,France,Gard,Roc d'Anglade,3.9,124,36.46,28/12/2010,true
