name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.90,24/04/2010,true
Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,39.90,13/03/2013,true
Crianza 2016,Spain,Rioja,Berceo,3.6,103,9.90,02/09/2001,false
Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.90,09/12/2006,true
Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,14/09/2007,true
Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,103,6.50,09/06/2001,false
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,05/06/2013,false
Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,7.79,26/07/2017,false
Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,240.00,25/03/2012,false
Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,25/05/2010,true
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,01/11/2005,false
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,22/11/1999,true
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,24/01/2016,true
Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.90,05/08/2009,true
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,28/06/2001,true
François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,29.15,05/10/2011,true
Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,10.99,17/09/2010,false
Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,12.62,23/07/2001,false
Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.40,16/03/2009,true
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,16/10/2006,true
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.90,11/07/2004,true
Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,24/11/2004,false
Médoc 2012,France,Médoc,Château Potensac,3.8,1033,39.69,06/06/2013,true
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.90,06/09/2011,false
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,16/07/2003,true
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,23/10/2004,false
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,14.56,10/10/1999,true
Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.10,09/11/2012,false
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.90,13/11/2011,true
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.00,06/02/2016,true
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,04/01/2001,true
Chianti 2017,Italy,Chianti,Sammontana,3.7,104,8.90,02/07/2007,true
Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,17/08/2019,true
Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.20,19/08/2000,false
Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,21.91,23/05/2005,false
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.90,11/05/2007,false
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69.00,11/04/2014,false
Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,8.20,14/11/2008,true
Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,10/08/2004,true
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,03/12/2006,false
Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,08/03/2013,false
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32.00,14/09/2018,false
Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.90,27/04/2011,true
Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,24/03/2012,true
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,31/07/2000,true
Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,16/07/2011,true
Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,15/03/2018,true
Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,28/09/2006,false
Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,19.50,10/02/2008,true
No Name 2014,Italy,Piemonte,Borgogno,4.0,1041,34.32,13/07/2006,true
Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,26/06/2017,true
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.60,02/11/2007,false
Almiréz 2016,Spain,Toro,Teso La Monja,4.0,1046,14.95,13/12/2008,true
Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.70,22/08/2019,true
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,23/09/2008,false
Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,09/01/2006,true
Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,105,18.49,25/09/2019,true
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,16/11/2011,false
Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,105,12.49,09/05/2018,false
Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,25/01/2008,true
Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,105,15.60,29/08/2009,true
Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.90,19/01/2011,true
Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,19/02/2015,true
Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,03/03/2009,true
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.90,23/08/2006,true
Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,105,5.33,24/08/2019,false
Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105,19.01,29/09/2007,true
Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,105,12.90,16/07/2018,true
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,105,25.75,31/08/2000,true
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,20/02/2019,false
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,06/08/2000,false
Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,01/03/2018,true
Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,105,9.95,21/02/2005,true
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,10/01/2001,false
Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105,24.15,16/08/1999,false
Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,105,6.90,09/09/2013,true
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,02/09/2017,false
Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105,39.58,23/05/2003,false
Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,105,6.95,18/11/2008,true
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,14.90,20/04/2006,true
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.50,04/09/2000,false
The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,05/08/2015,true
Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,06/11/1999,true
Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,19/07/2010,false
Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,07/10/2019,false
Tinto 2018,Portugal,Lisboa,Porta 6,3.7,1056,9.12,10/03/2019,true
Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,09/08/2012,false
Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,20/06/2017,false
Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,1059,6.95,03/09/2003,false
Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,1059,12.40,31/08/2007,false
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4.0,106,86.76,08/05/2018,true
Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4.0,106,17.90,24/04/2005,false
Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,106,8.50,24/08/2001,true
Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,18/11/2005,true
Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,106,7.70,30/12/2015,true
Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,106,39.95,27/09/2000,false
B 2017,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,17/03/2009,false
Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22.50,14/11/2016,true
Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,16/10/2001,false
Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.90,09/10/2009,true
Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32.00,11/12/2012,true
Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,11/06/2004,false
Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,08/05/2018,false
Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,04/09/2006,false
Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,106,26.70,12/07/2007,true
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45.00,05/05/2011,true
Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.40,04/10/2019,false
El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,106,7.75,17/08/2015,true
Hermitage La Chapelle Rouge 2016,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,25/02/2008,true
Mas Oliveras Tempranillo 2018,Spain,Catalunya,Ramón Roqueta,3.2,106,6.50,26/11/2018,true
